Scenario,MachineName,Operation,ElapsedMilliseconds
StartStopFastScenario2,alpine,Start,1032
StartStopFastScenario2,alpine,Stop,661
StartStopFastScenario2,alpine,Start,2389
StartStopFastScenario2,alpine,Stop,856
StartStopFastScenario2,alpine,Start,1568
StartStopFastScenario2,alpine,Stop,597
StartStopFastScenario2,alpine,Start,2287
StartStopFastScenario2,alpine,Stop,898
StartStopFastScenario2,alpine,Start,1054
StartStopFastScenario2,alpine,Stop,590
StartStopFastScenario2,alpine,Start,2407
StartStopFastScenario2,alpine,Stop,999
StartStopFastScenario2,alpine,Start,1087
StartStopFastScenario2,alpine,Stop,629
StartStopFastScenario2,alpine,Start,2302
StartStopFastScenario2,alpine,Stop,901
StartStopFastScenario2,alpine,Start,1052
StartStopFastScenario2,alpine,Stop,650
StartStopFastScenario2,alpine,Start,2689
StartStopFastScenario2,alpine,Stop,957
StartStopFastScenario2,alpine,Start,1147
StartStopFastScenario2,alpine,Stop,736
StartStopFastScenario2,alpine,Start,2509
StartStopFastScenario2,alpine,Stop,1176
